hari,S,I,R
0.0,51316210.17759563,167.8224043715847,0.0
1.0,51316159.83103897,194.1943318358297,23.97462919594067
2.0,51316101.572987095,224.710336299274,51.71667660105919
3.0,51316034.16024934,260.0215974393055,83.81815321524118
4.0,51315956.15429278,300.88161150592725,120.96409570657053
5.0,51315865.89055134,348.16226558154654,163.94718306456014
6.0,51315761.44291401,402.87243640353637,213.68464957620964
7.0,51315640.58263522,466.179509992053,271.2378547767148
8.0,51315500.73079192,539.4342804310331,337.8349276327224
9.0,51315338.90327433,624.199757960466,414.89696769429855
10.0,51315151.64713874,722.2844995594116,504.06836168865084
11.0,51314934.96696719,835.7811711687679,607.2518616257096
12.0,51314684.239666566,967.1111616219324,726.6491717926764
13.0,51314394.11589429,1119.076196525024,864.8079091672381
14.0,51314058.40601433,1294.9180484080393,1024.6759372422416
15.0,51313669.948159605,1498.3876105026663,1209.6642298719614
16.0,51313220.45559819,1733.8247989918952,1423.7196028009137
17.0,51312700.34016365,2006.2509765355358,1671.4088597997559
18.0,51312098.50800492,2321.475852901249,1958.0161421619753
19.0,51311402.12332839,2686.2211218775496,2289.6555497192967
20.0,51310596.335132405,3108.263443307578,2673.4014242732324
21.0,51309663.96115907,3596.5997818808523,3117.439059031458
22.0,51308585.12239412,4161.63857799264,3631.2390278715798
23.0,51307336.82041598,4815.420759274452,4225.758824727671
24.0,51305892.44870977,5571.87521416066,4913.676076052592
25.0,51304221.22769837,6447.1140521103625,5709.658249504115
26.0,51302287.55167621,7459.773781115694,6630.674542662738
27.0,51300050.23403316,8631.40945543396,7696.356511393551
28.0,51297461.63509509,9986.94989986825,8929.415005026975
29.0,51294466.65454907,11555.22331733221,10356.122133579582
30.0,51291001.567727454,13369.563950761094,12006.868321769896
31.0,51286992.681954816,15468.512016147164,13916.806029021482
32.0,51282354.78567204,17896.620868047587,16126.593459899648
33.0,51276989.3590972,20705.387318885245,18683.253583906448
34.0,51270782.51071893,23954.32322302779,21641.16605803291
35.0,51263602.598901145,27712.18886608819,25063.212232751168
36.0,51255297.49227119,32058.411372315808,29022.09635647805
37.0,51245691.41633954,37084.714250778685,33601.869409666026
38.0,51234581.32694805,42896.98732073022,38899.685731205835
39.0,51221732.74368152,49617.42954143724,45027.826777024435
40.0,51206874.96836036,57387.000642397106,52116.030997229755
41.0,51189695.60527258,66368.2207812548,60314.17394614362
42.0,51169834.29109533,76748.3605611879,69795.34834346574
43.0,51146875.533803284,88743.06634449039,80759.39985220687
44.0,51120340.551723234,102600.46751818144,93436.98075856264
45.0,51089677.99693247,118605.8126634925,108094.19040401714
46.0,51054253.44235337,137086.67971923586,125037.8779273732
47.0,51013337.51046537,158418.80021877587,144621.68931583548
48.0,50966092.52530549,183032.52820454945,167252.9464899463
49.0,50911557.580725335,211419.9687554794,193400.45051916764
50.0,50848631.939833395,244142.75696806272,223603.30319852184
51.0,50776056.71722213,281840.44286959944,258480.83990824508
52.0,50692394.85212117,325239.38756062184,298743.7603181879
53.0,50596009.46348938,375162.00654088845,345206.52996970527
54.0,50485040.795163155,432536.10250413226,398801.10233268933
55.0,50357382.119913496,498403.90596748376,460591.97411899397
56.0,50210655.18640196,573930.2814836602,531792.5321143488
57.0,50042186.074272044,660409.3534016258,613782.5723263003
58.0,49848982.68169367,759268.5526369087,708126.7656693897
59.0,49627715.51666995,872068.7815696412,816593.7017603767
60.0,49374704.00403334,1000499.0396963041,941174.9562703255
61.0,49085911.15153706,1146363.4579502558,1084103.3905126546
62.0,48756950.123670004,1311558.2775387065,1247869.5987912626
63.0,48383107.01150273,1498035.9214861682,1435235.067011078
64.0,47959384.78993631,1707753.011411706,1649240.198651959
65.0,47480574.00675633,1942599.0786757292,1893204.914567917
66.0,46941355.9856373,2204302.9456982217,2170719.0686644497
67.0,46336444.02590657,2494314.4846149166,2485619.4894784815
68.0,45660766.97305981,2813660.8968023993,2841950.130137755
69.0,44909697.317188315,3162778.9959878353,3243901.6868238123
70.0,44079322.37885396,3541328.363466783,3695727.2576792175
